"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"CF177PA0673",0.890226542949677,8.56,0.1,43.8,3.83,7.13,0.083,0.73,0.44,0.1,0.16,842,28,"Macadamia"
"CF177PA0674",1.49166452884674,12.6,0.1,45,6.16,7.9,0.1,1.03,0.47,0.094,0.19,709,27.9,"Macadamia"
"CF177PA0660",1.54306733608246,8.05,0.1,49.8,5.03,7.75,0.13,0.78,0.51,0.082,0.2,942,23.9,"Macadamia"
"CF177PA0661",1.22889351844788,11.4,0.12,72.8,3.64,0.54,0.092,0.84,0.61,0.088,0.16,549,37.4,"Macadamia"
"CF177PA0682",1.6239207983017,10.1,0.1,45.3,4.28,0.77,0.12,0.73,0.42,0.083,0.15,443,26.6,"Macadamia"
"CF177PA0675",1.25738263130188,10.5,0.1,94.3,4.92,3.59,0.12,0.79,0.48,0.096,0.16,1290,36.4,"Macadamia"
"CF177PA0676",1.2232791185379,8.37,0.1,78.2,3.14,17.3,0.13,0.76,0.67,0.11,0.22,794,48.4,"Macadamia"
"CF177PA0677",1.08094453811646,8.81,0.11,59,3.3,26.4,0.11,0.72,0.67,0.1,0.18,384,38.3,"Macadamia"
"CF177PA0678",1.24609506130219,9.44,0.1,56.3,4.04,8.27,0.14,0.81,0.64,0.12,0.19,516,36.2,"Macadamia"
"CF177PA0679",1.16756522655487,6.84,0.1,56.3,3.2,5.04,0.097,0.76,0.5,0.086,0.17,991,27.1,"Macadamia"
"CA170PA0724",1.0901186466217,16.4,0.11,213,9.25,55.7,0.067,0.64,0.36,0.099,0.14,601,19.3,"Macadamia"
"CF177PA0680",1.62157106399536,6.56,0.19,52.8,3.32,0.05,0.09,0.68,0.55,0.095,0.17,522,35.6,"Macadamia"
"CF177PA0681",1.1826239824295,9.37,0.1,37.4,6.55,4.23,0.14,0.88,0.39,0.09,0.2,421,22.7,"Macadamia"
"CF177PA0662",1.12278831005096,11.7,0.1,57.6,5.92,8.22,0.14,0.77,0.43,0.083,0.15,1010,22.5,"Macadamia"
