"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"FA324-350PA0005",2.51223776223776,21.8,0.11,74.2,6.86,0.05,0.15,1.1,1.49,0.42,0.23,1240,32.3,"Avocado"
"CL160PA0003",2.33548951048951,34.9,0.58,154,428,29.3,0.22,1.76,0.92,0.37,0.29,191,32.7,"Avocado"
"CL160PA0004",2.19020979020979,40.3,0.61,188,522,39.7,0.22,1.81,0.91,0.37,0.28,190,29.2,"Avocado"
"CL160PA0005",2.20594405594406,40.6,0.22,235,616,24.6,0.19,1.85,0.85,0.39,0.24,271,34.9,"Avocado"
"CA028PA0321",2.94075965881348,18.3,0.62,238,101,20.2,0.15,0.86,2.16,0.83,0.22,985,45.8,"Avocado"
"CK002PA2719",1.79450714588165,25.7,0.21,141,203,17.2,0.14,1.45,0.91,0.5,0.21,481,43.7,"Avocado"
"CK002PA2543",2.25996503496504,20.6,0.16,99.1,177,0.05,0.12,0.79,1.07,0.44,0.19,343,47.1,"Avocado"
"FA324-483PA0001",2.65526676177979,10.6,0.37,50.5,1.69,15,0.23,1.13,0.18,0.073,0.24,83.6,10.5,"Macadamia"
"CK002PA2720",2.44255352020264,32.5,0.22,120,46.7,13.4,0.16,1.11,1.54,0.59,0.26,1150,56.6,"Avocado"
"CK002PA2721",2.12705969810486,30.4,0.57,161,395,22.1,0.16,1.37,1.15,0.59,0.24,804,65.7,"Avocado"
"CK002PA2722",2.00503039360046,26.4,0.23,127,231,22.6,0.17,1.44,0.79,0.52,0.22,664,56.9,"Avocado"
"CK002PA2723",1.43882894515991,26.2,0.4,129,147,48.1,0.12,1.4,1.06,0.5,0.17,546,31.9,"Avocado"
"CF177PA0252",2.27811193466187,180,3.07,88.1,7.88,0.05,0.24,1.63,1.26,0.35,0.29,162,39.8,"Pecan Nut"
"CF177PA0251",2.5801146030426,117,0.54,98.3,9.77,0.05,0.21,1.14,1.26,0.5,0.23,959,36.3,"Pecan Nut"
"CS032PA0035",2.74248251748252,29.5,0.1,102,8.21,15.5,0.15,0.99,1.91,0.37,0.24,553,20.7,"Avocado"
"CF177PA0253",2.77075266838074,241,1.63,133,8.72,0.05,0.28,1.73,1.05,0.44,0.29,675,33,"Pecan Nut"
"CK002PA2724",1.59355401992798,28.7,0.33,101,104,32,0.14,1.17,1.11,0.5,0.2,329,33.4,"Avocado"
"CA028PA0322",2.62699317932129,20.3,0.36,209,50.1,14.9,0.15,1.08,1.88,0.68,0.23,661,29.6,"Avocado"
"CA028PA0323",2.50754117965698,20.2,0.17,161,65.2,12.8,0.14,1.36,1.21,0.57,0.2,366,17.9,"Avocado"
"CF177PA0262",2.85374712944031,312,1.62,77,14.6,0.05,0.28,1.58,1.2,0.5,0.27,311,43,"Pecan Nut"
"CA028PA0276",2.28273844718933,18.8,0.1,141,72.6,27.1,0.16,1,0.76,0.35,0.19,208,26.9,"Avocado"
"CF177PA0263",2.72109961509705,178,1.8,58.2,11.3,0.05,0.22,1.28,0.74,0.36,0.24,215,34.4,"Pecan Nut"
"CA028PA0277",2.10812592506409,19.6,0.1,142,90.3,20.5,0.16,0.98,0.96,0.47,0.2,291,26.8,"Avocado"
"CF177PA0264",2.87969589233398,324,1.6,95.2,13,3.97,0.26,1.47,1.36,0.4,0.23,582,45.3,"Pecan Nut"
"CA028PA0278",1.93864977359772,20.7,0.15,147,67.2,20,0.14,0.96,0.79,0.34,0.18,314,14.3,"Avocado"
"CS032PA0036",2.35174825174825,32.3,0.17,87.1,6.32,20.5,0.16,1,1.38,0.27,0.22,461,13.2,"Avocado"
"CF177PA0265",3.20863699913025,500,0.87,140,14.9,10.2,0.3,1.58,2.34,0.63,0.25,377,42.3,"Pecan Nut"
"CF177PA0267",3.15000438690186,282,0.79,170,11.4,0.05,0.31,1.52,0.67,0.31,0.31,364,34,"Pecan Nut"
"CA028PA0325",2.30093359947205,18.4,0.24,124,81.5,15.6,0.15,1.11,1.67,0.58,0.2,310,26.4,"Avocado"
"CA028PA0313",3.54719066619873,21,0.31,121,173,16.6,0.17,1.07,1.65,0.61,0.29,211,37.8,"Avocado"
"CA028PA0314",2.59912610054016,10.8,0.6,99.2,45.8,18.6,0.14,0.96,1.74,0.8,0.21,389,35.6,"Avocado"
"CA028PA0326",2.81881809234619,18.2,0.49,334,85.5,19.2,0.16,0.91,2.34,0.89,0.2,950,41.5,"Avocado"
"CK002PA2245",2.55629370629371,35.5,0.49,147,96.9,62.2,0.15,1.15,1.58,0.54,0.23,374,76.1,"Avocado"
"CK002PA2246",2.68636363636364,29.6,0.63,137,170,13.5,0.15,1.33,1.32,0.58,0.2,448,77.1,"Avocado"
"CK002PA2247",2.84265734265734,30.2,1.02,134,129,71,0.15,1.38,1.44,0.63,0.23,454,90.5,"Avocado"
"CK002PA2248",2.6958041958042,29.4,1,124,98.5,32,0.14,1.18,1.35,0.55,0.2,620,64.2,"Avocado"
"CK002PA2249",2.72937062937063,37.2,0.3,111,99.1,16.9,0.15,1.26,1.16,0.48,0.21,744,66.1,"Avocado"
"CK002PA2255",3.01940559440559,37.4,1.66,111,91.2,15.1,0.17,1.48,1.52,0.53,0.23,509,92.2,"Avocado"
"CK002PA2250",1.21835664335664,38.1,0.12,76.1,17.5,87.2,0.08,1.5,0.13,0.12,0.062,140,28.4,"Avocado"
"CK002PA2251",1.48426573426573,51.7,0.1,65.1,16.2,60.9,0.095,1.23,0.089,0.12,0.069,78.3,28.4,"Avocado"
"CK002PA2252",1.35996503496503,48.8,0.18,74,27.7,58,0.11,1.18,0.092,0.11,0.061,52.9,33.9,"Avocado"
"FA324-354PA0001",1.87867132867133,22.7,0.1,48.4,4.88,1.66,0.15,0.9,0.47,0.17,0.13,338,13.4,"Avocado"
"CK002PA2253",1.46066433566434,64.8,0.1,117,14.5,42.1,0.13,1.5,0.1,0.12,0.072,42.2,36.9,"Avocado"
"CK002PA2254",1.50996503496504,31.9,0.1,62.1,17.7,84.9,0.14,1.48,0.062,0.12,0.074,83.8,27.5,"Avocado"
"CM247PA0012",1.51520979020979,8.67,0.22,143,3.1,31.4,0.075,0.68,0.68,0.087,0.11,378,18.2,"Macadamia"
"CM247PA0027",1.53304195804196,5.5,0.1,84.6,4.73,15.3,0.089,0.61,0.46,0.092,0.12,497,8.52,"Macadamia"
"CM247PA0031",1.48951048951049,6.98,0.1,101,4.36,31.9,0.078,0.6,0.55,0.079,0.1,909,10.2,"Macadamia"
"CM247PA0036",1.68356643356643,8.47,0.21,201,4.56,38.4,0.077,0.6,0.48,0.11,0.12,649,5.82,"Macadamia"
"CM247PA0053",1.7465034965035,4.79,0.1,122,4.04,11.1,0.062,0.49,0.78,0.12,0.14,827,10,"Macadamia"
"CM247PA0045",1.68251748251748,6.17,0.1,94.2,4.28,35.7,0.068,0.65,0.55,0.097,0.093,840,6.92,"Macadamia"
"CS018PA0012",3.15786713286713,28.9,0.1,72.2,7.62,10.9,0.14,1.22,1.03,0.41,0.22,573,16.6,"Avocado"
"CS018PA0014",2.87465034965035,29.9,0.11,88.7,7.36,11.1,0.16,1.16,1.03,0.36,0.23,496,17.5,"Avocado"
"CS018PA0006",3.3041958041958,26,2.69,62.8,5.21,11,0.2,1.23,1.75,0.42,0.31,126,43.6,"Avocado"
"FA324-428PA0001",2.09842657342657,24.3,0.11,81.8,12.9,18.7,0.15,0.91,0.71,0.26,0.16,227,16.4,"Avocado"
"CS460PA0020",1.0565584897995,10.1,0.1,125,2.78,64.5,0.13,0.54,0.97,0.097,0.14,871,24.2,"Macadamia"
"CA028PA0327",2.18618845939636,20,0.24,131,46.8,16.5,0.14,0.95,1.69,0.73,0.22,656,30.5,"Avocado"
"CA028PA0315",1.99662554264069,12.4,0.55,80.5,34.8,13,0.15,0.81,1.96,0.83,0.22,356,26.3,"Avocado"
"CA028PA0316",2.79161310195923,20.1,0.49,118,215,13.3,0.19,1.16,1.73,0.64,0.32,337,38.6,"Avocado"
"CA028PA0328",2.02560782432556,24.5,0.26,185,78.6,18.1,0.15,1.06,1.64,0.69,0.2,814,26.8,"Avocado"
"CS460PA0024",1.19842231273651,21.4,0.1,114,1.77,35.3,0.32,0.73,0.98,0.12,0.14,710,28.6,"Macadamia"
"CS460PA0030",1.07165455818176,13.4,0.1,77.9,2.12,28.2,0.14,0.69,0.74,0.098,0.1,526,24.5,"Macadamia"
"CM171PA0001",2.22377622377622,43,0.31,108,32.1,23.4,0.19,1.18,0.83,0.28,0.21,305,17.9,"Avocado"
"CK002PA2734",1.85101366043091,21.3,0.1,70,182,8.83,0.11,1.01,1.09,0.47,0.17,1210,32.3,"Avocado"
"CM171PA0002",2.07377622377622,40.9,0.21,95.5,28.1,14.5,0.18,1.1,1.16,0.33,0.25,444,15.4,"Avocado"
"CM171PA0003",2.11520979020979,50.5,0.32,124,64.4,27.8,0.23,1.36,0.9,0.3,0.25,264,18.3,"Avocado"
"CM171PA0004",2.49545454545455,47.8,0.33,106,31.3,25.8,0.2,1.21,0.77,0.26,0.23,315,19.3,"Avocado"
"CM171PA0005",2.9722027972028,41.8,0.48,225,63.6,19.2,0.19,1.17,1.35,0.33,0.27,474,18.6,"Avocado"
"CM171PA0006",2.31713286713287,32.6,0.31,128,79.1,15.5,0.17,1.23,0.9,0.26,0.2,229,15.7,"Avocado"
"CK002PA2735",2.03998446464539,23.2,0.12,92.5,229,0.05,0.12,1.03,1.36,0.5,0.19,1430,37.5,"Avocado"
"CM171PA0009",0.877868056297302,74,4.94,468,330,78.3,0.11,1.76,0.74,0.48,0.16,195,168,"Avocado"
"CA028PA0329",2.17456102371216,26,0.59,145,61.7,22.7,0.15,1.32,1.48,0.58,0.19,616,32.2,"Avocado"
"CA028PA0317",3.09515857696533,21.4,0.38,79.8,48.4,20.6,0.22,1.38,1.19,0.49,0.28,120,29.6,"Avocado"
"CA028PA0330",2.54100203514099,24.4,0.53,208,67.9,16.3,0.15,0.99,1.67,0.72,0.21,634,25.6,"Avocado"
"CA028PA0318",3.20412850379944,17.1,0.52,122,82.9,15.2,0.17,1.06,1.81,0.6,0.28,134,30,"Avocado"
"CA028PA0331",2.18459820747375,21.6,0.24,201,86.5,31.7,0.16,1.06,2.14,0.81,0.24,638,41.5,"Avocado"
"CK002PA2079",1.771875,10.5,1.09,85.8,5.4,42.4,0.059,0.62,1.4,0.11,0.11,4570,86.5,"Macadamia"
"CK002PA2088",1.57395,9.21,0.32,118,3.59,25.6,0.059,0.55,1.51,0.08,0.14,6490,64.3,"Macadamia"
"CK002PA2095",1.59075,11.6,0.1,104,4.55,48.7,0.062,0.61,1.54,0.068,0.087,6580,102,"Macadamia"
"CK002PA2106",1.652175,11.8,0.1,107,3.85,16.9,0.13,0.79,1.03,0.1,0.1,1000,95,"Macadamia"
"CK002PA2116",1.62645,8.66,0.1,114,2.71,17.7,0.046,0.38,1.55,0.11,0.12,6740,55,"Macadamia"
"CK002PA2127",1.798125,11.2,0.1,72.3,3.18,18.8,0.054,0.48,0.92,0.07,0.11,3190,56.4,"Macadamia"
"CK002PA2135",1.724625,8,0.16,68.8,5.01,9.05,0.069,0.64,0.63,0.068,0.064,2430,95.3,"Macadamia"
"CK002PA2143",1.736175,7.65,0.1,97,13.9,17.1,0.059,0.58,1.08,0.064,0.05,3930,149,"Macadamia"
"CK002PA2165",1.902075,9.95,0.1,101,3.28,13.9,0.055,0.65,1.2,0.089,0.12,3230,93.6,"Macadamia"
"CK002PA2174",1.789725,8.55,0.1,136,3.34,37.3,0.088,1.01,0.9,0.074,0.05,2340,136,"Macadamia"
"CK002PA2189",1.919925,7.72,0.8,101,6.14,16.9,0.069,0.62,0.96,0.077,0.16,2970,34.8,"Macadamia"
"CK002PA2202",1.887375,8.43,0.67,66.7,4.93,0.05,0.095,0.56,0.48,0.058,0.11,2110,25.9,"Macadamia"
"CK002PA2214",1.74405,7.55,0.61,47.6,4.43,24.8,0.093,0.66,0.44,0.066,0.12,574,12,"Macadamia"
"CA028PA0319",3.36373901367188,17.3,0.6,92.5,94.6,18.3,0.21,1.39,1.42,0.43,0.27,104,35.5,"Avocado"
"CA028PA0332",2.33309173583984,18.9,0.38,256,83.5,24.1,0.15,1.04,1.74,0.76,0.21,679,22.9,"Avocado"
"CA028PA0320",3.07441091537476,15.8,0.13,91.8,44.1,16,0.19,1.37,1.8,0.74,0.23,439,46.8,"Avocado"
"CA028PA0333",2.05088329315186,19.1,0.4,142,66.8,13.8,0.15,1.03,1.9,0.72,0.19,993,35.4,"Avocado"
"CA028PA0334",2.33548712730408,21.1,0.22,253,44,15,0.17,1.1,1.46,0.66,0.21,740,43,"Avocado"
"CK002PA2742",1.80264246463776,26.1,0.1,86.8,139,0.05,0.12,1.08,1.1,0.5,0.19,1420,42.4,"Avocado"
"CK002PA2262",2.50216783216783,27.6,1.33,132,129,40.9,0.14,1.17,1.29,0.6,0.25,744,60.1,"Avocado"
"CL187PA0001",2.10830616950989,30.5,0.39,432,7.95,214,0.22,1.87,1.19,0.51,0.27,340,35.2,"Avocado"
"CK002PA2218",2.413425,24,0.45,76.7,64.5,21.1,0.13,1.16,1.2,0.44,0.18,487,61.6,"Avocado"
"CK002PA2219",2.42865,26.7,0.44,133,59.7,9.58,0.15,1.27,1.34,0.52,0.2,757,71.1,"Avocado"
"CA170PA0623",1.54195804195804,9.42,0.1,201,3.6,47.9,0.097,0.85,0.59,0.098,0.2,878,43.9,"Macadamia"
"CA170PA0624",1.6520979020979,8.87,0.1,125,4.74,71.6,0.11,0.84,0.47,0.085,0.21,553,26.5,"Macadamia"
"CA170PA0625",1.49475524475524,10.6,0.1,186,4.47,60.1,0.081,0.71,0.25,0.074,0.15,343,12.5,"Macadamia"
"CA170PA0626",1.48269230769231,7.21,0.1,280,7.97,72,0.086,0.78,0.86,0.099,0.2,775,33.7,"Macadamia"
"CA170PA0627",1.84615384615385,7.66,0.1,524,3.76,31.9,0.071,0.84,0.47,0.075,0.2,913,28.1,"Macadamia"
"CA170PA0628",1.64160839160839,9.26,0.1,619,4.3,59.7,0.085,0.84,0.42,0.08,0.17,487,20,"Macadamia"
"CA170PA0629",1.46853146853147,10.3,0.1,104,8.58,46.5,0.11,0.81,0.66,0.098,0.18,830,30.7,"Macadamia"
"CA170PA0630",1.5,6.38,0.1,91,4.61,74.9,0.076,0.61,0.85,0.086,0.12,1210,22.7,"Macadamia"
"CA170PA0631",1.53671328671329,7.85,0.1,436,3.75,35.9,0.077,0.84,0.42,0.095,0.2,810,20.2,"Macadamia"
"CA170PA0632",1.67307692307692,10.1,0.1,306,5.33,45.7,0.1,0.7,0.64,0.11,0.22,864,28.6,"Macadamia"
"CA170PA0633",1.69405594405594,11.1,0.1,325,5.79,56.6,0.1,0.69,0.62,0.1,0.18,1100,27,"Macadamia"
"CA170PA0634",1.68881118881119,8.6,0.1,108,4.72,68.6,0.08,0.71,0.48,0.079,0.18,644,26.4,"Macadamia"
"CA170PA0635",1.64685314685315,12.8,0.1,165,7.16,48.2,0.099,0.73,0.23,0.069,0.15,365,12.3,"Macadamia"
"CA170PA0636",1.49475524475524,12.2,0.1,177,5.19,36.3,0.087,0.74,0.66,0.086,0.18,232,24.7,"Macadamia"
"CA170PA0637",1.52097902097902,13.7,0.1,150,6.17,43.5,0.11,0.74,0.42,0.096,0.19,430,20,"Macadamia"
"CA170PA0638",1.66783216783217,9.23,0.1,91.2,4.26,61,0.084,0.72,0.33,0.068,0.15,338,19.9,"Macadamia"
"CA170PA0639",2.01870629370629,9.1,0.1,135,4.54,55.2,0.091,0.76,0.44,0.093,0.17,711,19.1,"Macadamia"
"CA170PA0640",1.5,7.55,0.1,125,4.36,35.7,0.069,0.88,0.3,0.068,0.17,413,17.1,"Macadamia"
"CA170PA0641",1.48269230769231,8.04,0.1,138,5.76,69.3,0.096,0.74,0.48,0.073,0.15,659,22.7,"Macadamia"
"CA170PA0642",1.68881118881119,6.87,0.1,173,4.23,42.2,0.086,0.73,0.57,0.069,0.17,885,17,"Macadamia"
"CA170PA0643",1.57342657342657,8.57,0.1,165,4.05,45,0.12,0.63,0.33,0.064,0.1,1070,11.8,"Macadamia"
"CA170PA0644",1.52097902097902,14.3,0.1,168,4.56,120,0.092,0.6,0.47,0.07,0.13,619,22.5,"Macadamia"
"CA170PA0645",1.67307692307692,7.41,0.1,173,6.79,43.1,0.079,0.65,0.6,0.071,0.19,1150,15,"Macadamia"
"CA170PA0646",1.50524475524476,8.61,0.1,119,4.5,37.2,0.067,0.59,0.5,0.066,0.13,826,19.4,"Macadamia"
"CA170PA0647",1.67307692307692,7.24,0.1,84,4.14,59.7,0.097,0.89,0.5,0.08,0.18,799,25.7,"Macadamia"
"FA617-32PA0001",3.63174414634705,34.3,0.64,97.5,13.1,39.7,0.21,1.34,0.81,0.45,0.2,554,37.3,"Avocado"
"CK002PA2705",2.03418374061584,31.2,0.8,180,255,24.4,0.11,1.02,1.58,0.68,0.21,724,33.3,"Avocado"
"CK002PA2263",2.45601398601399,26.7,1.05,143,83.1,4.41,0.14,0.96,1.57,0.65,0.27,793,66,"Avocado"
"CK002PA2706",1.82706940174103,24.9,0.64,142,266,22.9,0.13,1.15,1.23,0.56,0.21,494,41.2,"Avocado"
"CK002PA2707",2.1123468875885,24.7,0.46,192,178,17.4,0.15,1.23,1.28,0.61,0.22,600,38,"Avocado"
"CT276PA0001",0.844945549964905,28.2,0.1,53.4,2.83,7.02,0.069,0.77,1.19,0.046,0.095,3560,336,"Macadamia"
"CK002PA2708",1.95870983600616,32.4,0.56,176,178,21.2,0.15,1.32,1.29,0.65,0.23,598,60.4,"Avocado"
"CT276PA0002",1.05448269844055,9.08,0.69,32.8,2.31,5.27,0.048,0.77,0.43,0.041,0.084,610,81.5,"Macadamia"
"CL160PA0002",3.01625874125874,37.7,0.52,204,245,24,0.28,1.77,0.72,0.32,0.29,126,28,"Avocado"
"CA028PA0173",2.9841,18.9,0.64,147,180,11.3,0.17,0.98,1.37,0.51,0.24,214,38.5,"Avocado"
"CA028PA0302",2.77991724014282,16.2,0.55,110,27.5,29.6,0.15,1.27,1.25,0.62,0.22,347,43.9,"Avocado"
"CA028PA0303",3.14380407333374,18.4,0.38,127,35.9,27.6,0.16,1.18,1.46,0.64,0.25,559,40.5,"Avocado"
"CK002PA2544",2.24811188811189,23.1,0.1,140,182,0.05,0.14,1.09,0.9,0.38,0.21,317,37.4,"Avocado"
"CK002PA2962",1.73892915248871,22.4,0.82,109,159,8.22,0.13,0.98,1.02,0.62,0.19,422,43.5,"Avocado"
"CA028PA0304",3.20629692077637,17.7,0.42,105,32,36.3,0.16,1.33,1.49,0.65,0.24,555,43.4,"Avocado"
"CA028PA0305",2.93102836608887,16.8,0.44,93,23.7,20.2,0.17,1.18,1.98,0.64,0.25,354,34.9,"Avocado"
"CK002PA2659",2.08951048951049,46.1,0.84,92.5,107,3.17,0.099,1.05,1.19,0.41,0.25,225,16.4,"Avocado"
"CK002PA2660",2.42832167832168,35,0.64,166,56.9,5.05,0.11,1.01,1.57,0.52,0.27,524,28.5,"Avocado"
"CA028PA0306",3.13576674461365,17.3,0.33,140,31.6,20.1,0.16,1.24,1.84,0.77,0.24,818,35.5,"Avocado"
"CA028PA0324",2.50937485694885,28,0.14,139,55.9,23,0.15,1.25,1.74,0.64,0.2,501,32.8,"Avocado"
"FA806-225PA0001",2.15847902097902,15.6,0.11,103,6.06,5.3,0.15,1,0.88,0.26,0.16,344,23.9,"Avocado"
"CK002PA2267",2.70708041958042,51.8,0.1,104,32.6,36.5,0.14,0.94,1.82,0.43,0.17,688,29.7,"Avocado"
"CK002PA2274",2.73314685314685,27.8,0.25,119,192,13.8,0.16,1.21,0.9,0.45,0.17,251,64.9,"Avocado"
"CK002PA2288",2.94519230769231,26.7,0.33,108,148,7.47,0.15,0.79,1.15,0.54,0.17,518,55.7,"Avocado"
"CK002PA2290",2.83715034965035,28.2,0.1,106,111,24.8,0.16,1.05,1.13,0.53,0.18,753,86.7,"Avocado"
"FA324-88PA0002",1.86713286713287,23.5,0.1,88.8,13.2,33.2,0.18,1.5,0.54,0.19,0.17,761,26.9,"Avocado"
"FA324-88PA0003",2.01923076923077,28.3,0.5,71.4,9.63,26.4,0.2,1.39,0.62,0.25,0.19,457,25.7,"Avocado"
"CA019PA0001",2.15034965034965,26,2.43,80.7,5.4,48.4,0.15,1.45,1.02,0.36,0.21,66.1,23.5,"Avocado"
"CA019PA0002",2.00874125874126,28.2,2.93,87.6,4.77,7.67,0.14,1.44,1.09,0.31,0.28,96.1,17.9,"Avocado"
"CK002PA2419",1.92986013986014,7.7,0.33,145,4.06,14.9,0.068,0.68,0.7,0.063,0.14,2370,59.5,"Macadamia"
"CK002PA2423",2.05940559440559,9.42,0.22,139,4.97,14.5,0.079,0.68,0.61,0.087,0.19,2630,32,"Macadamia"
"CK002PA2472",2.01534965034965,7.59,0.1,129,4.16,21.7,0.066,0.71,0.76,0.062,0.14,1110,34.5,"Macadamia"
"CK002PA2480",1.75573426573427,4.47,0.1,85.7,3.51,18.8,0.056,0.43,0.76,0.076,0.12,2410,68.7,"Macadamia"
"CK002PA2497",1.78248251748252,15.1,0.1,157,4.54,10.9,0.057,0.43,0.71,0.069,0.13,2440,28.3,"Macadamia"
"CK002PA2501",1.92776223776224,10.1,0.15,190,4.22,11.8,0.068,0.59,1.71,0.055,0.17,3030,93.5,"Macadamia"
"CK002PA2511",1.29944055944056,7.6,0.12,86,4.83,16.4,0.07,0.59,0.5,0.071,0.11,1000,68.5,"Macadamia"
"CK002PA2522",1.80451048951049,9.52,0.22,92.2,7.4,22.9,0.16,0.73,0.28,0.091,0.13,679,16.8,"Macadamia"
"CK002PA2527",1.93982517482517,8.24,0.31,102,5.04,14.6,0.099,0.67,0.59,0.063,0.14,1490,79.7,"Macadamia"
"CK002PA2737",1.73247241973877,25.2,0.1,77,196,0.05,0.11,0.98,1.18,0.5,0.18,1220,33.7,"Avocado"
"CK002PA2738",1.74107313156128,31.9,0.1,80.7,305,0.05,0.11,1.18,1.31,0.5,0.2,1380,39.7,"Avocado"
"CK002PA2739",1.99524235725403,24.1,0.1,130,136,7.09,0.12,1.05,1,0.55,0.19,871,34.4,"Avocado"
"CK002PA2740",2.09999203681946,21.6,0.22,75.8,94.6,2.72,0.12,1.17,1.25,0.52,0.21,1540,43.8,"Avocado"
"CK002PA2741",2.01048469543457,23.4,0.11,96.1,135,3.17,0.11,1.13,1.05,0.49,0.2,1240,43.9,"Avocado"
"CO127PA0004",1.23555302619934,20.5,0.83,163,4.7,43.9,0.15,1.12,0.62,0.23,0.16,35.7,22.7,"Avocado"
"FA324-236PA0003",2.43616414070129,30.9,1.02,74.3,15.4,22.4,0.26,1.44,0.47,0.2,0.2,233,27.8,"Avocado"
"FA324-236PA0004",2.30570578575134,30.1,0.94,77.7,14,32.8,0.29,1.61,0.66,0.24,0.21,249,28.4,"Avocado"
"CO127PA0003",1.77495157718658,35.1,1.01,231,11.2,38.5,0.26,1.42,1.29,0.37,0.46,92.8,38.4,"Avocado"
"FA324-618PA0001",2.29126596450806,30.5,0.1,104,16.6,27.5,0.24,1.84,0.51,0.24,0.18,480,20,"Avocado"
"FA222-113PA0001",1.75474989414215,31.8,0.6,94,21,37.6,0.23,1.41,0.56,0.22,0.16,394,23.8,"Avocado"
